List of GSM companies w.e.f 06.06.2019,,
Sr. No.,Security Name,ISIN
430,Moongipa Securities Ltd,INE618R01015
431,Morgan Ventures Ltd,INE902C01015
432,Mount Shivalik Industries Ltd,INE410C01019
433,MP Agro Industries Ltd,INE468C01017
434,MPIL Corporation Ltd,INE844C01027
435,Mpl Plastics Ltd,INE343A01016
436,Mrugesh Trading Ltd,INE738D01011
437,Mudunuru Ltd,INE491C01027
438,Mukat Pipes Ltd,INE862C01029
439,Multipurpose Trading & Agencies Ltd,INE017P01014
440,Munoth Capital Markets Ltd,INE910G01027
441,Munoth Communication Ltd,INE410E01015
442,Munoth Financial Services Ltd,INE348D01019
443,My Money Securities Ltd,INE232L01018
444,Nagarjuna Oil Refinery Ltd,INE453M01018
445,Nam Securities Ltd,INE792G01011
446,Narendra Investments (Delhi) Ltd,INE666Q01016
447,Natura Hue Chem Ltd,INE487B01019
448,NB Footwear Ltd,INE006F01018
449,NCC Finance Ltd,INE768B01012
450,Neelkanth Rockminerals Ltd,INE741D01015
451,Negotium International Trade Ltd,INE339P01046
452,Neo Infracon Ltd,INE216I01017
453,Neogem India Ltd,INE552E01014
454,Netlink Solutions India Ltd,INE040F01033
455,Network Ltd,INE010C01025
456,Neueon Towers Ltd,INE333I01036
457,New Markets Advisory Ltd,INE800K01014
458,Springform Technology Ltd,NA
459,Nexus Commodities And Technologies Ltd,INE370Q01015
460,Nicco Corporation Ltd,INE241C01026
461,Nicco Uco Alliance Credit Ltd,INE917B01023
462,Nidhi Granites Ltd,INE276H01013
463,Nimbus Foods Industries Ltd,INE301B01020
464,Nishtha Finance and Investment (India) Ltd,INE217Q01018
465,Nitin Fire Protection Industries Ltd,INE489H01020
466,Nivi Trading Ltd,INE552F01011
467,Noble Polymers Ltd,INE203Q01026
468,Noesis Industries Ltd,INE141B01020
469,Norris Medicines Ltd,INE744C01029
470,Northlink Fiscal and Capital Services Ltd,INE736P01019
471,Nouveau Global Ventures Ltd,INE317B01034
472,Nova Publications India Ltd,INE900O01014
473,NovaGold Petro Resources Ltd,INE517G01012
474,Nutricircle Ltd,INE536C01029
475,Nuway Organic Naturals India Ltd,INE414L01012
476,Oasis Tradelink Ltd,INE189Q01019
477,Octal Credit Capital Ltd,INE513C01010
478,Omansh Enterprises Ltd,INE378P01028
479,Omega Ag-Seeds Punjab Ltd,INE112B01013
480,Omkar Overseas Ltd,INE680D01015
481,Omkar Pharmachem Ltd,INE501C01015
482,Omnitex Industries India Ltd,INE814D01010
483,Onesource Ideas Venture Ltd,INE125F01024
484,Ontic Finserve Ltd,INE989S01034
485,Oracle Credit Ltd,INE727C01016
486,Organic Coatings Ltd,INE412E01011
